Feature,Importance
Symbol_Encoded,945
Volatility_60D,893
Close_vs_MA_200,751
EMA_26,728
Industry_Encoded,483
Volatility_20D,368
Return_60D_Rank,355
Volatility_20D_vs_Industry,331
MACD_Signal,315
Volatility_20D_vs_Market,307
Return_60D,297
EMA_12,293
Turnover,265
Return_20D_vs_Industry,258
MACD,203
Volume,197
High,180
Close_vs_MA_50,176
Low,165
Volatility_20D_Rank,156
BB_Width,150
Close,147
Open,116
MACD_Hist,113
VWAP,108
Volatility_10D,94
Return_20D_vs_Market,85
Return_20D_Rank,83
RSI_14_Rank,79
Return_20D,60
Momentum_60D,55
RSI_14,31
Return_10D,29
Close_vs_VWAP,29
Close_vs_MA_20,28
Volatility_5D,27
BB_Position,18
Momentum_20D_Rank,17
Return_5D,15
Volume_Change_5D,12
Close_vs_MA_5,11
High_Low_Range,8
Turnover_Change_1D,6
Momentum_20D,5
Return_1D_vs_Market,3
Volume_Change_1D,3
Momentum_5D,2
Open_Close_Change,0
Return_1D,0
Log_Return_1D,0
Year,0
Month,0
Quarter,0
DayOfWeek,0
